Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
49,2025,31297,Tortenneset,0,0,0,Nei,Ja,1806,NARVIK,18,Nordland,68.485916,17.338667,0.5,Nei,4.8,9,Vestfjorden og Vesterålen
49,2025,33677,Torvund,0.26,0.77,0.4,Nei,Ja,4638,HØYANGER,46,Vestland,61.14467,5.656367,0.5,Nei,9.79,4,Nordhordaland til Stadt
49,2025,34917,Tosen,,,,Ja,Nei,1811,BINDAL,18,Nordland,65.249435,12.815283,0.5,,,7,Nord-Trøndelag med Bindal
49,2025,31497,Toska N,0.26,1.47,0.1,Nei,Ja,4631,ALVER,46,Vestland,60.670033,4.9192,0.5,Nei,9.75,4,Nordhordaland til Stadt
49,2025,14018,Toska S,0.47,2.32,0.73,Nei,Ja,4631,ALVER,46,Vestland,60.627434,5.004367,0.5,Nei,11.5,4,Nordhordaland til Stadt
49,2025,32717,Tranøya N,,,,Ja,Nei,5057,ØRLAND,50,Trøndelag,63.87185,9.76985,0.5,,,6,Nordmøre og Sør-Trøndelag
49,2025,17077,Trettevik,,,,Ja,Nei,5530,SENJA,55,Troms,69.5115,18.022167,0.5,,,10,Andøya til Senja
49,2025,32857,Trettholmosen,,,,Ja,Nei,4613,BØMLO,46,Vestland,59.831932,5.0801,0.5,,,3,Karmøy til Sotra
49,2025,30560,Tristeinen,0.1,0.05,0,Nei,Ja,5057,ØRLAND,50,Trøndelag,63.868935,9.619183,0.5,Nei,8.31,6,Nordmøre og Sør-Trøndelag
49,2025,11351,Trollvika,0.23,0.6,0,Nei,Ja,5512,TJELDSUND,55,Troms,68.71725,17.022217,0.5,Nei,7.5,10,Andøya til Senja
